KODE,NAMA_BAHAN,KATEGORI,SUMBER,AIR_g,ENERGI_kal,PROTEIN_g,LEMAK_g,KH_g,SERAT_g,ABU_g,KALSIUM_mg,FOSFOR_mg,BESI_mg,NATRIUM_mg,KALIUM_mg,TEMBAGA_mg,SENG_mg,RETINOL_mcg,BKAROTEN_mcg,KARTOTAL_mcg,THIAMIN_mg,RIBOFLAVIN_mg,NIASIN_mg,VIT_C_mg,BDD_pct
BR023,"Sente, talas, segar",Umbi Berpati,DABM- 1964,14.0,353,0.7,0.2,84.7,6.6,0.4,11,13,1.5,,30,,,2.2,41,,0.05,0.20,2.8,5,
BR024,"Suweg, talas, segar",Umbi Berpati,KZGPI- 1990,80.1,74,1.4,0.1,17.2,1.4,1.2,42,46,1.3,,7,,,0.1,24,254.0,0.04,0.00,0.4,2,
BR025,"Talas bogor, segar",Umbi Berpati,KZGPI- 1990,72.4,108,1.4,0.4,25.0,0.9,0.8,47,67,0.7,,10,,,0.7,0,0.0,0.06,0.07,1.0,4,
BR026,"Talas pontianak, segar",Umbi Berpati,KZGPI- 1990,60.0,163,2.3,0.5,36.4,0.7,0.9,45,80,1.7,,14,,,1.0,0,0.0,0.02,0.10,1.3,,
BR027,"Talas viqueque, segar",Umbi Berpati,KZGMI-2001,70.6,115,1.8,0.5,25.9,8.6,1.2,50,220,0.9,,1,,,1.0,0,0.0,0.08,0.10,0.9,,
BR028,"Ubi jalar, kuning, segar",Umbi Berpati,KZGMI-2001,72.6,119,0.5,0.4,25.1,4.2,1.0,30,40,0.4,,3,,,0.2,794,4948.0,0.06,0.07,0.7,21,
BR029,"Ubi jalar manis, segar",Umbi Berpati,KZGPI- 1990,78.4,83,1.5,0.2,18.8,0.6,1.1,27,162,2.1,,52,,,0.3,0,0.0,0.02,0.00,0.4,0,
BR030,"Ubi jalar merah, segar",Umbi Berpati,KZGPI- 1990,61.9,151,1.6,0.3,35.4,0.7,0.6,29,74,0.7,,92,,,0.5,0,1208.0,0.13,0.08,0.7,11,
BR031,"Ubi jalar putih, segar",Umbi Berpati,KZGMI-2001,77.8,88,0.4,0.4,20.6,4.0,0.8,30,10,0.5,,2,,,0.2,13,264.0,0.25,0.06,0.5,36,
BR032,Ubi jalar tinta/ kemayung,Umbi Berpati,KZGMI-2001,72.5,108,0.5,0.4,25.6,4.2,1.0,30,40,0.5,,1,,,0.2,13,0.0,0.09,0.06,0.6,24,
BR033,"Umbi Uwi, segar",Umbi Berpati,BKP,69.7,120,2.8,0.5,82.3,2.6,0.9,9,42,1.3,,12,,,0.6,0,0.0,0.02,0.50,0.2,4,
BP001,"Batatas kelapa, ubi, bakar",Umbi Berpati,KZGMI-2001,73.2,110,1.4,1.1,23.4,4.5,0.7,1,46,0.2,,12,,,0.3,0,0.0,1.13,0.00,0.0,0,
BP002,"Batatas kelapa, ubi, kukus",Umbi Berpati,KZGMI-2001,75.7,92,1.2,0.3,21.0,4.1,1.8,0,42,0.2,,10,,,0.3,0,0.0,0.28,0.00,0.7,0,
BP003,"Batatas tali, ubi, rebus",Umbi Berpati,KZGMI-2001,53.2,182,2.4,0.4,42.2,9.2,1.8,1,80,0.3,,20,,,0.6,0,0.0,0.27,0.00,1.3,0,
BP004,"Belitung, talas, kukus",Umbi Berpati,KZGPI- 1990,63.1,145,1.2,0.4,34.2,1.0,1.1,21,48,0.9,,7,,,0.9,0,0.0,0.08,0.10,2.3,1,
BP005,"Bentul, talas, kukus",Umbi Berpati,KZGPI- 1990,81.1,71,2.3,0.3,15.4,0.5,0.9,29,26,0.6,,,,,0.6,0,0.0,0.06,0.00,0.0,21,
BP006,"Gadung, ubi, kukus",Umbi Berpati,KZGPI- 1990,77.4,88,0.6,0.3,20.9,0.9,0.8,26,47,0.4,,6,,,0.2,0,0.0,0.03,0.00,0.4,0,
BP007,"Ganyong, rebus",Umbi Berpati,KZGPI- 1990,74.1,100,0.8,0.2,23.8,0.9,1.1,15,65,0.9,,,,,,0,0.0,0.04,,,6,
BP008,Ketela pohon/ singkong kukus,Umbi Berpati,KZGPI- 1990,61.5,153,1.2,0.3,36.4,1.3,0.6,56,22,0.4,,2,,,0.1,0,0.0,0.00,0.00,0.3,20,
BP009,"Suweg, talas, kukus",Umbi Berpati,KZGPI- 1990,75.5,93,1.5,0.1,21.9,0.9,1.0,50,58,0.8,,6,,,0.1,0,283.0,0.09,0.00,0.3,0,
BP010,"Talas bogor, kukus",Umbi Berpati,KZGPI- 1990,69.2,120,1.5,0.3,28.2,0.7,0.8,31,63,0.7,,11,,,0.6,0,0.0,0.05,0.60,0.8,2,
BP011,"Ubi jalar, kuning, kukus",Umbi Berpati,KZGPI- 1990,74.2,100,0.7,0.3,23.8,1.0,1.0,44,46,0.4,,3,,,0.2,819,4427.0,0.00,0.10,0.6,16,
BP012,Ubi jalar tinta/ kemayung kukus,Umbi Berpati,KZGPI- 1990,58.5,165,0.9,0.2,39.8,1.1,0.6,20,23,0.8,,1,,,0.2,0,0.0,0.02,0.10,0.5,0,
BP013,Bagea kelapa asin,Umbi Berpati,KZGMI-2001,3.5,450,3.2,13.9,78.1,,,1.3,,,0.3,,0.0,,0.20,0.2,,,,0.30,,0.00
BP014,Bagea kelapa manis,Umbi Berpati,KZGMI-2001,3.0,452,1.3,13.8,80.6,,,1.3,,,0.3,,0.0,,0.20,0.2,,,,0.00,,0.00
BP015,Bagea kenari asin,Umbi Berpati,KZGMI-2001,2.8,529,3.2,29.1,63.6,,,1.3,,,0.4,,0.0,,0.20,0.2,,,,0.30,,0.00
BP016,Bagea kenari manis,Umbi Berpati,KZGMI-2001,3.1,523,3.2,28.2,64.2,,,1.3,,,0.3,,0.0,,0.20,0.2,,,,0.30,,0.00
BP017,Bagea kw 1,Umbi Berpati,KZGPI- 1990,7.2,416,6.5,9.4,76.3,0.4,,0.6,,,4.9,,,,,,,,,0.08,,
BP018,Bagea kw 2,Umbi Berpati,KZGPI- 1990,7.9,382,0.3,3.5,87.2,0.9,,1.1,,,7.6,,,,,,,,,0.02,,
BP019,Beras Cerdas,Umbi Berpati,BKP,11.3,350,2.7,1.1,82.3,6.2,,2.6,,,2.9,,568.0,,0.20,0.9,,,,0.02,,0.20
BP020,Beras ganyong,Umbi Berpati,BKP,9.3,364,3.4,0.7,86.3,4.7,,0.5,,,5.0,,72.2,,0.20,0.6,,,,0.02,,0.02
BP021,Beras Siger,Umbi Berpati,BKP,13.5,344,1.1,0.2,28.3,5.6,,0.7,,,5.6,,77.9,,0.10,0.5,,,,0.02,,0.10
BP022,Biji nangka/Biji salak,Umbi Berpati,KZGMI-2001,40.5,262,2.3,5.4,51.1,8.0,,0.7,,,0.8,,2.0,,0.60,2.0,,,,0.10,,1.00
BP023,Bubur sagu,Umbi Berpati,KZGMI-2001,62.5,167,0.2,4.0,33.0,,,0.3,,,0.1,,0.0,,0.10,0.1,,,,9.00,,
BP024,Cassavastick,Umbi Berpati,KZGPI- 1990,5.6,460,0.8,18.7,17.2,1.6,,2.7,,,7.5,,,,,,,,,0.19,,0.07
BP025,Ceriping getuk singkong,Umbi Berpati,KZGPI- 1990,7.2,462,1.2,20.7,67.7,0.6,,3.2,,,8.8,,,,,,,,,0.29,,0.02
BP026,Gatot,Umbi Berpati,BKP,12.8,347,1.3,0.7,83.8,5.8,,1.4,,,17.1,,242.0,,0.20,0.7,,,,0.02,,0.10
BP027,Geblek,Umbi Berpati,BKP,52.1,195,0.4,1.7,44.4,3.6,,1.4,,,0.6,,125.0,,0.30,0.3,,,,0.02,,0.00
BP028,Getuk goreng,Umbi Berpati,KZGPI- 1990,16.5,360,1.3,6.4,74.3,0.8,,1.5,,,3.2,,,,,,,,,0.21,,
BP029,Getuk singkong,Umbi Berpati,KZGPI- 1990,49.8,204,0.5,1.4,47.4,0.8,,1.1,,,1.5,,,,,,,,,0.08,,
BP030,Gurandil,Umbi Berpati,KZGPI- 1990,47.5,218,0.5,2.5,48.5,3.1,,1.0,,,2.8,,,,,,,,,0.19,,
BP031,Kabuto,Umbi Berpati,KZGMI-2001,58.9,250,2.6,2.5,35.4,1.8,,0.6,,,1.1,,218.0,,,,,,,0.10,,0.10
BP032,Kapurung,Umbi Berpati,KZGMI-2001,79.6,41,2.0,0.3,7.8,2.0,,0.6,,,0.3,,566.0,,0.10,0.3,,,,0.12,,0.25
BP033,Kecimpring singkong goreng,Umbi Berpati,KZGPI- 1990,3.7,464,1.2,18.6,73.0,1.3,,3.5,,,3.4,,,,,,,,,0.34,,
BP034,Keremes,Umbi Berpati,KZGPI- 1990,6.7,475,1.6,25.2,64.4,2.1,,2.1,,,1.0,,,,,,,,,0.00,,
BP035,Keripik gadung,Umbi Berpati,KZGPI- 1990,4.0,446,2.8,14.5,76.0,1.7,,2.8,,,1.9,,,,,,,,,0.95,,
BP036,Keripik kentang,Umbi Berpati,KZGMI-2001,7.8,448,2.7,18.8,67.1,3.8,,3.6,,,1.2,,406.0,,1.10,,,,,0.10,,0.05
BP037,Keripik singkong,Umbi Berpati,KZGPI- 1990,4.2,478,0.9,20.7,72.0,2.0,,2.2,,,1.9,,,,,,,,,0.24,,
BP038,Keripik singkong berbumbu,Umbi Berpati,KZGPI- 1990,2.2,481,2.2,19.7,73.6,1.6,,2.3,,,1.6,,,,,,,,,0.31,,
BP039,Keripik ubi,Umbi Berpati,KZGMI-2001,6.0,486,0.2,23.9,67.6,14.3,,2.3,,,0.9,,2.0,,0.70,2.3,,,,0.10,,0.10
BP040,Kerupuk cumi goreng,Umbi Berpati,KZGMI-2001,3.4,444,6.9,14.6,71.3,5.0,,3.8,,,1.8,,191.0,,0.10,0.3,,,,0.40,,0.10
BP041,Kerupuk kemplang (ikan) mentah,Umbi Berpati,KZGMI-2001,14.2,325,1.8,0.4,78.5,4.5,,5.1,,,2.3,,273.0,,0.20,0.5,,,,0.60,,0.10
BP042,Kerupuk kemplang goreng,Umbi Berpati,KZGPI- 1990,5.8,504,5.6,28.1,57.1,0.3,,3.4,,,2.9,,,,,,,,,0.31,,
BP043,Kerupuk kemplang panggang,Umbi Berpati,KZGPI- 1990,9.4,356,9.7,1.1,76.9,1.0,,3.0,,,2.9,,,,,,,,,0.36,,
BP044,Kerupuk mie kuning goreng,Umbi Berpati,KZGPI- 1990,7.2,476,0.1,21.1,71.3,4.2,,0.3,,,4.6,,109.0,,0.10,0.2,,,,0.22,,0.00
BP045,Kerupuk udang goreng,Umbi Berpati,KZGMI-2001,4.4,477,4.7,20.5,68.5,5.0,,1.9,,,0.9,,109.0,,0.10,0.2,,,,0.20,,0.00
BP046,Kue bangket,Umbi Berpati,KZGMI-2001,16.1,338,1.5,1.2,80.3,,,0.9,,,0.3,,0.0,,0.20,0.2,,,,0.30,,0.00
BP047,Kue putu singkong,Umbi Berpati,KZGMI-2001,44.2,217,1.2,0.5,53.2,2.4,,0.9,,,1.5,,305.0,,,,,,,0.10,,0.10
BP048,Lanting getuk,Umbi Berpati,KZGPI- 1990,4.2,422,0.9,10.8,80.4,1.4,,3.8,,,3.6,,,,,,,,,0.43,,
BP049,Mi golosor,Umbi Berpati,KZGPI- 1990,82.9,71,0.2,0.8,15.9,0.1,,0.2,,,0.2,,,,,,,,,0.05,,0.02
BP050,Mie Bendo,Umbi Berpati,BKP,11.5,353,0.3,0.0,88.0,2.4,,0.2,,,2.8,,49.2,,0.50,0.1,,,,0.02,,0.00
BP051,Mie Sagu,Umbi Berpati,BKP,52.8,190,0.2,0.4,46.5,1.4,,0.1,,,0.3,,2.6,,0.10,0.0,,,,0.00,,0.40
BP052,Ongol-ongol sagu,Umbi Berpati,KZGPI- 1990,75.3,111,0.3,2.7,21.2,0.3,,0.5,,,1.7,,,,,,,,,0.06,,
BP053,Oyek,Umbi Berpati,BKP,12.6,351,0.9,0.9,84.9,4.3,,0.7,,,2.1,,229.0,,0.10,0.5,,,,0.02,,0.02
BP054,Papeda,Umbi Berpati,KZGMI-2001,84.8,61,0.2,0.1,14.9,0.5,,0.1,,,0.2,,20.0,,0.10,0.1,,,,0.06,,0.00
BP055,Rasbi (Beras Ubi),Umbi Berpati,BKP,11.1,394,2.2,8.8,76.6,6.8,,1.3,,,1.6,,388.0,,0.40,0.4,,,,0.02,,0.30
BP056,Rasi (Beras Singkong),Umbi Berpati,BKP,12.6,350,0.9,0.4,85.7,14.4,,0.5,,,1.5,,14.0,,0.30,0.5,,,,0.02,,0.02
BP057,Sagu forno,Umbi Berpati,KZGMI-2001,31.5,291,0.5,4.0,63.4,,,0.6,,,0.8,,50.0,,0.10,0.2,,,,,,
BP058,Sagu Lemak (Kue Sagon),Umbi Berpati,BKP,4.3,452,2.8,14.8,76.8,1.1,,0.7,,,1.1,,52.7,,0.04,0.8,,,,0.32,,0.04
BP059,Sagu manis,Umbi Berpati,KZGMI-2001,32.6,287,0.5,3.9,62.4,,,0.6,,,0.7,,42.0,,0.10,0.2,,,,,,
BP060,Sagu Rendang,Umbi Berpati,BKP,8.2,364,0.1,0.2,90.5,1.9,,1.0,,,3.9,,15.1,,0.10,0.1,,,,0.02,,0.60
BP061,Sagu sinole,Umbi Berpati,KZGMI-2001,22.0,354,0.8,8.3,68.9,,,0.1,,,0.8,,11.0,,0.20,0.3,,,,,,
BP062,Serimping talas kebumen,Umbi Berpati,KZGPI- 1990,4.8,478,2.5,21.2,69.2,1.7,2.3,112,118,2.3,,,,,,,0.0,0.25,,,0,
BP063,Tapai singkong,Umbi Berpati,KZGPI- 1990,57.4,169,1.4,0.3,40.2,2.0,0.7,21,34,0.8,,,,,,0,0.0,0.00,,,9,
BP064,Tepung Arrowroot,Umbi Berpati,DABM- 1964,13.6,355,0.7,0.2,85.2,0.4,0.3,8,22,1.5,,2,,,0.1,20,3.0,0.09,0.00,0.0,0,
BP065,Tepung Ganyong,Umbi Berpati,BKP,13.6,353,0.8,1.7,83.6,0.7,0.3,4,31,3.3,,3,,,0.3,0,0,0.02,0.00,0.9,1,
BP066,Tepung Gaplek,Umbi Berpati,BKP,13.0,345,2.4,0.4,83.1,6.7,1.1,18,95,1.5,,6,,,1.2,1,0,0.30,0.20,0.1,0,
BP067,"Tepung kentang, kering",Umbi Berpati,DABM- 1964,13.0,347,0.3,0.1,85.6,0.4,1.0,20,30,0.5,,51,,,0.5,0,0.0,0.04,0.00,0.4,0,
BP068,Tepung Mocaf,Umbi Berpati,BKP,11.9,350,1.2,0.6,85.0,6.0,1.3,60,64,15.8,,8,,,0.6,0,0,0.02,0.02,0.7,2,
BP069,Tepung Sente,Umbi Berpati,BKP,15.3,326,4.0,0.4,76.7,8.5,3.6,41,141,3.5,,14,,,1.4,0,0,0.02,0.20,7.7,0,
BP070,Tepung singkong/ Tapioka,Umbi Berpati,DABM- 1964,9.1,363,1.1,0.5,88.2,0.9,1.1,84,125,1.0,,1,,,0.1,0,,0.04,0.00,0.4,0,
BP071,Tepung Tales Beneng,Umbi Berpati,BKP,12.2,332,5.7,0.6,76.1,12.2,5.5,59,302,10.7,,7,,,6.2,0,0,0.02,0.10,0.3,0,
BP072,Tepung Ubi Ungu,Umbi Berpati,BKP,9.4,354,2.8,0.6,84.4,12.9,2.8,89,125,3.9,,42,,,0.6,0,0,0.40,0.02,0.0,0,
BP073,Tiwul,Umbi Berpati,BKP,11.2,353,2.4,1.1,83.4,6.5,1.6,55,95,4.7,,5,,,0.8,0,0,0.02,0.02,0.1,3,
BP074,Tiwul Instan,Umbi Berpati,BKP,9.1,395,3.2,8.5,76.5,4.2,2.7,81,81,5.8,,377,,,1.2,0,0,0.40,0.20,0.2,4,
BP075,Ubi Cilembu,Umbi Berpati,BKP,52.7,186,1.9,0.2,44.3,3.4,0.9,37,51,0.6,,1,,,0.2,26,0.0,0.02,0.20,0.0,0,
BP076,Uli batatas,Umbi Berpati,KZGMI-2001,66.5,150,1.1,4.0,27.4,,1.0,,23,0.1,,6,,,0.2,0,0.0,0.53,0.00,1.3,0,
CR001,"Kacang arab, kering",Kacang & Biji,DABM-1964,11.6,330,23.8,1.4,60.2,17.4,3.0,57,388,4.7,,24,,,,,140.0,,0.21,1.5,2,100
CR002,"Kacang babi, kering",Kacang & Biji,KZGPI-1990,11.6,341,30.4,3.2,51.3,4.5,3.5,178,521,6.8,,13,,,,,87.0,,0.33,2.8,,80
CR003,"Kacang belimbing (kecipir), kering",Kacang & Biji,KZGPI-1990,10.4,400,34.4,16.9,34.1,10.7,4.2,468,182,6.8,,37,,,,,,,0.44,3.0,,100
CR004,"Kacang beracun, segar",Kacang & Biji,KZGMI-2001,72.1,118,4.4,1.5,21.6,,0.4,50,50,1.7,,10,,,,,,,,,,
CR005,"Kacang bogor, kering",Kacang & Biji,DABM-1964,10.0,370,16.0,6.0,65.0,26.3,3.0,85,264,4.2,,44,,,,0,,,0.26,6.2,0,100
CR006,"Kacang bogor, segar",Kacang & Biji,KZGPI-1990,60.8,165,7.7,3.1,27.4,2.5,1.0,96,126,5.3,,6,,,,,,,0.35,2.7,,100
CR007,"Kacang endel, biji, kering",Kacang & Biji,DABM-1964,14.0,331,25.0,1.0,58.0,23.6,2.0,80,400,5.0,,12,,,,0,,,0.75,2.3,,95
CR008,"Kacang ercis, segar",Kacang & Biji,KZGMI-2001,67.6,129,12.4,0.7,18.3,28.6,1.0,40,130,2.3,,4,,,,,,,0.05,2.7,,45
CR009,"kacang galing, segar",Kacang & Biji,DABM-1964,12.0,336,23.1,1.7,59.5,,3.8,80,400,5.0,,,,,,0,,,,,0,95
CR010,"Kacang gude, biji, kering",Kacang & Biji,KZGPI-1990,16.1,316,20.7,1.0,58.0,4.6,4.2,146,445,4.7,,16,,,,,,,0.19,2.4,,100
CR011,"Kacang gude, biji, segar",Kacang & Biji,DABM-1964,70.3,114,7.0,0.6,20.8,4.4,2.3,3,122,1.5,,4,,,,,70.0,,0.07,0.8,43,100
CR012,"Kacang hijau var, bakti, kering",Kacang & Biji,KZGPI-1990,7.4,350,17.1,1.8,70.7,5.7,3.1,94,315,4.9,,46,,,,,235.0,,0.27,2.6,11,100
CR013,"Kacang hijau var, siwalik, kering",Kacang & Biji,KZGPI-1990,8.8,339,20.8,2.1,64.6,7.4,3.7,122,136,4.9,,45,,,,,321.0,,0.27,2.6,,100
CR014,"Kacang hijau, kering",Kacang & Biji,KZGPI-1990,15.5,323,22.9,1.5,56.8,7.5,3.3,223,319,7.5,,42,,,,,223.0,,0.15,1.5,10,100
CR015,"Kacang hitam, kering",Kacang & Biji,KZGMI-2001,12.5,346,16.6,1.7,66.1,22.8,3.1,70,300,4.7,,3,,,,,,,0.10,2.1,,100
CR016,"Kacang kapri, segar",Kacang & Biji,DABM-1964,74.3,98,6.7,0.4,17.7,6.2,0.9,22,122,1.9,,6,,,,,680.0,,0.16,2.5,26,45
CR017,"Kacang kedelai, kering",Kacang & Biji,KZGPI-1990,12.7,381,40.4,16.7,24.9,3.2,5.5,222,682,10.0,,210,,,,,31.0,,0.12,1.2,,100
CR018,"Kacang kedelai, segar",Kacang & Biji,DABM-1964,20.0,286,30.2,15.6,30.1,2.9,4.1,196,506,6.9,,28,,,,,95.0,,0.26,1.8,,100
CR019,"Kacang kincai, kering",Kacang & Biji,KZGMI-2001,4.2,444,19.9,16.0,55.0,,4.9,26,,,,,,,,,,,0.10,1.9,,
CR020,"Kacang komak, segar",Kacang & Biji,KZGMI-2001,20.9,327,16.4,4.3,55.8,0.5,2.6,74,282,4.0,,22,,,,,,,0.12,0.1,,45
CR021,"Kacang kuning, kering",Kacang & Biji,KZGMI-2001,11.7,355,17.0,2.5,66.0,15.1,2.8,140,220,5.8,,1,,,,,,,0.08,1.9,,
CR022,"Kacang lebui /iris, kering",Kacang & Biji,KZGMI-2001,11.8,346,16.5,1.5,66.6,37.3,3.6,144,368,3.4,,17,,,,,,,0.20,0.0,,100
CR023,"Kacang mentega, kering",Kacang & Biji,KZGMI-2001,13.7,344,16.7,2.1,64.6,13.0,2.9,110,300,6.7,,1,,,,,,,0.07,1.2,,
CR024,"Kacang merah /banda, kering",Kacang & Biji,KZGMI-2001,13.0,350,13.9,3.0,66.9,26.3,3.2,84,242,6.8,,19,,,,,,,0.76,0.3,,100
CR025,"Kacang merah tua, kering",Kacang & Biji,KZGPI- l990,12.3,280,16.7,1.6,63.2,4.6,6.2,209,335,6.4,,19,,,,,,,0.08,2.0,6,100
CR026,"Kacang merah, kering",Kacang & Biji,KZGPI- l990,17.7,314,22.1,1.1,56.2,4.0,2.9,502,429,10.3,,11,,,,,,,0.72,2.2,,100
CR027,"Kacang merah, segar",Kacang & Biji,KZGPI- l990,57.2,171,11.0,2.2,28.0,2.1,1.7,293,134,3.7,,7,,,,,10.0,,0.15,1.1,,100
CR028,"Kacang mete/biji jambu monyet, segar",Kacang & Biji,KZGMI-2001,4.6,616,16.3,48.4,28.7,0.9,2.0,26,521,3.8,,26,,,,,,,0.03,0.0,,69
CR029,"Kacang panjang, biji, kering",Kacang & Biji,DABM-1964,12.2,357,17.3,1.5,68.6,10.6,0.4,163,437,6.9,,16,,,,0,,,0.98,7.1,2,100
CR030,Kacang tanah sangan,Kacang & Biji,KZGPI- l990,1.2,560,29.5,43.0,24.1,2.9,2.2,107,366,4.1,,34,,,,,,,0.30,15.5,,100
CR031,Kacang tanah sangan tanpa selaput,Kacang & Biji,DABM-1964,2.6,559,26.9,44.2,23.6,2.6,2.7,74,393,1.9,,33,,,,0,,,29.4 7,8.0,0,100
CR032,"Kacang tanah, kering",Kacang & Biji,KZGPI- l990,9.6,525,27.9,42.7,17.4,2.4,2.4,316,456,5.7,,31,,,,,30.0,,0.27,1.4,,100
CR033,"Kacang tolo / tunggak, kering",Kacang & Biji,KZGPI- l990,13.5,331,24.4,1.9,56.6,1.6,3.6,481,399,13.9,,15,,,,,,,0.20,4.3,,100
CR034,"Kacang tunis, kering",Kacang & Biji,KZGMI-2001,10.5,351,12.2,1.2,72.9,29.5,3.2,120,220,6.9,,1,,,,,,,0.13,2.5,,100
CR035,"Kacang uci, kering",Kacang & Biji,KZGPI- l990,9.9,358,23.4,2.4,60.6,7.4,3.7,269,264,0.5,,13,,,,,,,0.20,2.5,2,100
CR036,"Kacang urei, kering",Kacang & Biji,KZGMI-2001,12.8,354,12.8,1.8,69.3,26.1,3.3,220,220,5.1,,1,,,,,,,0.05,3.5,,
CR037,"Kenari banda, kering",Kacang & Biji,KZGMI-2001,13.0,616,13.9,56.2,13.7,,3.2,0,380,1.4,,11,,,,,,,0.08,0.5,,100
CR038,"Kenari, kering",Kacang & Biji,DABM-1964,3.0,657,15.0,66.0,13.0,,3.0,92,691,7.7,,3,,,,0,,,0.09,0.5,0,100
CR039,"Komak polong, segar",Kacang & Biji,KZGMI-2001,74.3,99,3.3,0.1,21.2,10.3,1.1,50,99,13.1,,15,,,,,,,0.03,0.2,,100
CR040,"Koro andong, kering",Kacang & Biji,KZGPI- 1990,10.8,356,20.5,4.1,61.6,7.0,3.0,150,272,6.2,,18,,,,,,,0.02,1.4,1,100
CR041,"Koro benguk, biji, kering",Kacang & Biji,DABM-1964,15.0,332,24.0,3.0,55.0,5.6,3.0,30,200,2.0,,42,,,,,70.0,,0.12,1.7,0,95
CR042,"Koro kerupuk, biji, segar",Kacang & Biji,DABM-1964,67.2,125,8.3,0.7,22.1,2.2,1.7,17,12,2.7,,16,,,,,80.0,,0.04,1.1,31,68
CR043,"Koro loke, biji, segar",Kacang & Biji,DABM-1964,88.6,33,2.7,0.2,7.9,3.5,0.6,60,40,2.0,,2,,,,,40.0,,0.00,0.2,0,95
CR044,"Koro roay, kering",Kacang & Biji,KZGPI- 1990,13.0,344,12.5,2.1,69.4,7.5,3.0,70,103,4.4,,18,,,,,28.0,,0.21,1.4,1,100
CR045,"Koro wedus, biji, kering",Kacang & Biji,DABM-1964,11.8,338,22.2,1.5,61.0,5.8,3.5,88,395,3.5,,43,,,,0,,,0.12,1.8,0,100
CR046,"Lamtoro biji, muda, segar",Kacang & Biji,DABM-1964,77.4,85,5.7,0.3,15.4,10.8,1.2,180,53,2.7,,35,,,,,423.0,,1.15,1.0,15,100
CR047,"Lamtoro biji, tua, segar",Kacang & Biji,DABM-1964,61.4,148,10.6,0.5,26.2,17.0,1.3,155,59,2.2,,28,,,,,416.0,,0.49,2.8,20,100
CR048,"Lamtoro var, gung tanpa kulit",Kacang & Biji,KZGPI- 1990,10.2,367,46.4,5.4,32.5,2.6,4.4,136,441,23.3,,65,,,,,18900.0,,1.15,1.0,9,100
CR049,"Lamtoro var, lokal dengan kulit",Kacang & Biji,KZGPI- 1990,13.5,336,23.8,1.2,59.7,15.4,1.8,867,321,1.5,,134,,,,,321.0,,1.34,0.9,16,100
CR050,"Nangka, biji, segar",Kacang & Biji,DABM-1964,57.7,165,4.2,0.1,36.7,1.8,1.3,33,200,1.0,,69,,,,0,,,0.03,1.4,10,75
CR051,"Saga merah terkupas, mentah",Kacang & Biji,KZGPI- 1990,8.1,449,30.6,25.5,31.9,3.5,3.9,1062,161,14.2,,66,,,,,107.0,,1.50,10.9,7,100
CR052,"Wijen, mentah",Kacang & Biji,DABM-1964,5.8,568,19.3,51.1,18.1,3.6,5.8,1125,614,9.5,,18,,,,,,,0.20,5.7,0,100
CP001,"Kacang belimbing, rebus",Kacang & Biji,KZGPI-1990,55.6,204,16.9,8.8,17.5,4.8,1.2,230,180,3.3,,43,,,,,,,0.48,0.7,,100
CP002,"Kacang bogor, goreng",Kacang & Biji,KZGPI-1990,3.0,479,12.7,23.2,58.9,1.2,2.2,135,184,2.9,,,,,,,,,0.45,4.1,,35
CP003,"Kacang bogor, rebus",Kacang & Biji,KZGPI-1990,61.2,161,7.7,2.8,27.1,2.0,1.2,56,134,1.4,,,,,,,,,,,,35
CP004,"Kacang gude, rebus",Kacang & Biji,KZGPI-1990,61.5,147,9.0,0.5,27.5,3.4,1.5,50,175,2.0,,14,,,,,,,0.07,13.2,,100
CP005,"kacang hijau, rebus",Kacang & Biji,KZGPI-1990,71.3,109,8.7,0.5,18.3,1.5,1.2,95,149,1.5,,447,,,,,120.0,,0.04,0.4,3,100
CP006,"Kacang kedelai, goreng",Kacang & Biji,KZGPI-1990,9.6,521,32.2,37.7,22.9,7.6,3.7,296,800,6.5,,3492,,,,,20.0,,1.90,19.0,,100
CP007,"Kacang kedelai, rebus",Kacang & Biji,KZGPI-1990,56.8,189,20.2,8.2,12.7,1.6,2.1,91,270,3.9,,181,,,,,15.0,,0.04,0.5,0,100
CP008,"Kacang merah kering, rebus",Kacang & Biji,KZGPI- l990,59.6,158,10.3,0.9,28.2,2.6,1.0,160,149,3.7,,6,,,,,,,0.09,0.8,,100
CP009,"Kacang merah segar, rebus",Kacang & Biji,KZGPI- l990,63.1,144,10.0,1.0,24.7,3.5,1.2,144,150,2.8,,6,,,,,,,0.08,0.7,,100
CP010,"Kacang mete/biji jambu monyet, goreng",Kacang & Biji,KZGPI- 1990,1.0,629,20.4,56.3,19.8,1.1,2.5,502,493,8.0,,13,,,,,,,0.22,1.8,,100
CP011,Kacang tanah rebus dg kulit,Kacang & Biji,DABM-1964,40.2,360,13.5,31.2,12.8,,2.3,42,177,1.4,,32,,,,0,,,0.13,9.0,5,43
CP012,"Kacang tanah, goreng",Kacang & Biji,KZGPI- l990,2.5,564,25.5,44.4,25.5,2.8,2.8,106,390,4.1,,,,,,,,,,,,100
CP013,"Kacang tanah, rebus",Kacang & Biji,KZGPI- l990,62.1,220,10.6,18.0,8.0,1.0,1.3,89,273,1.9,,36,,,,,,,,,0,100
CP014,"Kacang tolo, rebus",Kacang & Biji,KZGPI- l990,64.4,138,10.7,1.1,22.6,0.9,1.2,165,172,4.0,,,0.80,,6.1,,,0.01,,,100,
