KODE,NAMA_BAHAN,KATEGORI,SUMBER,AIR_g,ENERGI_kal,PROTEIN_g,LEMAK_g,KH_g,SERAT_g,ABU_g,KALSIUM_mg,FOSFOR_mg,BESI_mg,NATRIUM_mg,KALIUM_mg,TEMBAGA_mg,SENG_mg,RETINOL_mcg,BKAROTEN_mcg,KARTOTAL_mcg,THIAMIN_mg,RIBOFLAVIN_mg,NIASIN_mg,VIT_C_mg,BDD_pct
AP011,"Jagung kuning, tepung",Serealia,DABM-1964,12.0,355,9.2,3.9,73.7,7.2,1.2,10,256,2.4,11,24.4,0.23,1.7,,0,510,0.38,,,100,
AP012,"Jagung kuning pipil, rebus",Serealia,KZGPI- 1990,63.7,154,3.8,3.5,28.4,0.7,0.6,7,171,0.5,5,56.4,0.10,4.4,,818,234,0.08,,,100,
AP013,"Jagung, tepung putih",Serealia,DABM-1964,12.0,355,9.2,3.9,73.7,7.2,1.2,10,256,2.4,11,24.4,0.23,1.7,,0,0,0.38,,,100,
AP014,"Ketan, ketupat",Serealia,KZGPI- 1990,52.0,212,4.0,4.6,38.6,0.2,0.9,8,46,1.0,,,,,0,0,0,0.07,,,100,
AP015,"Ketan hitam, matang",Serealia,KZGPI- 1990,56.9,181,4.0,1.2,37.3,0.3,0.6,9,144,1.7,9,18.4,0.10,0.7,0,0,0,0.06,,,100,
AP016,"Ketan hitam, tapai",Serealia,KZGPI- 1990,50.2,166,3.8,1.0,34.4,0.3,0.6,8.0,106,1.6,5,12.0,,,,,0,0.02,,,100,
AP017,"Ketan putih, matang",Serealia,KZGPI- 1990,60.7,163,3.0,0.4,35.7,0.2,0.2,4,55,0.7,8,16.8,0.10,0.7,0,0,0,0.07,,,100,
AP018,"Ketan putih, tapai",Serealia,KZGPI- 1990,58.9,172,3.0,0.5,37.5,0.6,0.1,6,35,0.5,1,,,,0,0,0,0.04,,,100,
AP019,"Maizena, tepung",Serealia,DABM-1964,14.0,341,0.3,0.0,85.0,7.0,0.7,20,30,1.5,6,9.0,0.22,1.6,0,0,0,0.00,,,100,
AP020,"Makaroni, mentah",Serealia,DABM-1964,11.7,353,8.7,0.4,78.7,4.9,2.5,20,80,0.3,5,0.0,0.28,1.4,,,0,0.10,,,100,
AP021,Mi basah,Serealia,DABM-1964,80.0,88,0.6,3.3,14.0,0.1,2.1,14,13,6.8,63,13.5,0.06,0.4,,0,,0.00,0.00,0.0,0,100
AP022,Mi kering,Serealia,KZGPI- 1990,10.6,339,10.0,1.7,6.3,0.4,1.4,31,143,3.9,760,83.0,0.29,1.9,,,0,0.00,0.08,2.2,0,100
AP023,Misoa,Serealia,KZGPI- 1990,10.0,345,8.5,2.2,78.0,0.5,1.3,52,120,8.7,3064,44.0,0.08,0.0,0,0,0,0.00,0.02,0.2,0,100
